t_sec,cmd_vx,cmd_wz,meas_speed_tf
39.950,0.000,0.000,0.000
40.000,0.000,0.000,0.101
40.050,0.000,0.000,0.000
40.100,0.000,0.000,0.095
40.150,0.000,0.000,0.000
40.199,0.000,0.000,0.091
40.250,0.000,0.000,0.000
40.300,0.000,0.000,0.031
40.349,0.000,0.000,0.000
40.400,0.000,0.000,0.123
40.450,0.000,0.000,0.000
40.500,0.000,0.000,0.046
40.549,0.000,0.000,0.000
40.599,0.000,0.000,0.017
40.650,0.000,0.000,0.000
40.699,0.000,0.000,0.059
40.750,0.000,0.000,0.000
40.800,0.000,0.000,0.067
40.850,0.000,0.000,0.000
40.900,0.000,0.000,0.073
40.950,0.000,0.000,0.000
41.000,0.000,0.000,0.030
41.049,0.000,0.000,0.000
41.100,0.000,0.000,0.148
41.150,0.000,0.000,0.000
41.200,0.000,0.000,0.049
41.249,0.000,0.000,0.000
41.300,0.000,0.000,0.161
41.350,0.000,0.000,0.000
41.400,0.000,0.000,0.100
41.450,0.000,0.000,0.000
41.500,0.000,0.000,0.075
41.550,0.000,0.000,0.000
41.600,0.000,0.000,0.026
41.650,0.000,0.000,0.000
41.700,0.000,0.000,0.119
41.750,0.000,0.000,0.000
41.801,0.000,0.000,0.056
41.850,0.000,0.000,0.000
41.900,0.000,0.000,0.057
41.949,0.000,0.000,0.000
42.000,0.000,0.000,0.042
42.050,0.000,0.000,0.000
42.100,0.000,0.000,0.099
42.150,0.000,0.000,0.000
42.200,0.000,0.000,0.070
42.267,0.000,0.000,0.000
42.300,0.000,0.000,0.058
42.350,0.000,0.000,0.089
42.401,0.000,0.000,0.124
42.450,0.000,0.000,0.000
42.501,0.000,0.000,0.076
42.550,0.000,0.000,0.000
42.600,0.000,0.000,0.113
42.650,0.000,0.000,0.000
42.700,0.000,0.000,0.120
42.750,0.000,0.000,0.000
42.800,0.000,0.000,0.034
42.849,0.000,0.000,0.000
42.900,0.000,0.000,0.099
42.950,0.000,0.000,0.000
43.000,0.000,0.000,0.196
43.050,0.000,0.000,0.000
43.099,0.000,0.000,0.058
43.150,0.000,0.000,0.000
43.199,0.000,0.000,0.152
43.249,0.000,0.000,0.000
43.300,0.000,0.000,0.133
43.350,0.000,0.000,0.000
